exam,subject,chapter,unit,topic,difficulty,type,marks,negativeMarks,text,optionA,optionB,optionC,optionD,correctOption,explanation
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"The corporate team felt that the new project was too risky to undertake, so they decided to back down.",back out,back up,back off,No improvement,A,"""Back out"" means to withdraw from an agreement, commitment, or project. ""Back down"" means to admit defeat in an argument. Here, the context is about withdrawing from a project."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,Scarcely had he reached the station than the train started.,then,when,before,No improvement,B,"According to the rule of correlative conjunctions, ""Scarcely"" and ""Hardly"" are followed by ""when"" or ""before,"" not ""than."" ""Than"" is used with ""No sooner."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,She is looking forward to meet her childhood friend after a decade.,to meeting,for meeting,to be meeting,No improvement,A,"The phrase ""look forward to"" is always followed by a gerund (Verb + ing), not by an infinitive (to + Verb)."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"If I was a king, I would help the poor and needy of my kingdom.",am,had been,were,No improvement,C,"This is a hypothetical conditional sentence. In such imaginary situations, ""were"" is used for all subjects, whether singular or plural."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,The teacher as well as her students are present in the seminar.,is,have been,were,No improvement,A,"When subjects are connected by ""as well as,"" ""along with,"" or ""together with,"" the verb agrees with the first subject. Since ""The teacher"" is singular, the correct verb is ""is."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,He is senior than me in the digital marketing department.,to,over,from,No improvement,A,"Latin adjectives such as senior, junior, superior, inferior, and prior take the preposition ""to"" instead of ""than."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I have been living in this chaotic city since five years.,from,for,before,No improvement,B,"""For"" is used to indicate a period or duration of time, whereas ""since"" is used to indicate a specific point in time."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,No sooner did the bell ring when the children ran out of their classrooms.,than,then,before,No improvement,A,"The correlative conjunction ""No sooner"" is always followed by ""than."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,"Unless you do not work hard, you cannot clear the Tier-2 exam.",work hard,will not work hard,had worked hard,No improvement,A,"""Unless"" already carries a negative meaning equivalent to ""if not."" Therefore, using another negative word such as ""not"" is incorrect."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Medium,MCQ,2,0.5,I am tired with walking such a long distance in the sun.,of,by,from,No improvement,A,"The fixed expression is ""tired of,"" which means exhausted or fed up because of an activity or situation."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Hard,MCQ,2,0.5,Detailed dynamic reports are preparing by the analysis team this week.,are being prepared,have prepared,is preparing,No improvement,A,"The reports receive the action rather than perform it. Therefore, the sentence requires the Present Continuous Passive Voice form: ""are being prepared."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Hard,MCQ,2,0.5,"He didn't know the answer, did he?",didn't he?,does he?,was he?,No improvement,D,"A negative statement takes a positive question tag. Since the sentence is negative (""didn't know""), the correct tag is ""did he."""
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Hard,MCQ,2,0.5,Every man and every woman have the right to express their opinion.,has,are having,have had,No improvement,A,"When singular nouns are preceded by ""every"" and joined by ""and,"" they take a singular verb."
SSC CGL Tier 1,English Comprehension,Sentence improvement,Sentence improvement,Sentence Improvement,Hard,MCQ,2,0.5,It is high time we start saving money for our future expenses.,started,will start,have started,No improvement,A,"Expressions such as ""It is high time"" are followed by a verb in the past subjunctive form (V2)."
