"exam","subject","chapter","unit","topic","difficulty","type","marks","negativeMarks","text","textHindi","optionA","optionAHindi","optionB","optionBHindi","optionC","optionCHindi","optionD","optionDHindi","correctOption","explanation","explanationHindi"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The corporate team felt that the new project was too risky to undertake, so they decided to back down.","कॉर्पोरेट टीम को लगा कि नया प्रोजेक्ट शुरू करना बहुत जोखिम भरा है, इसलिए उन्होंने पीछे हटने का फैसला किया।","back out","","back up","","back off","","No improvement","","A","""Back out"" means to withdraw from an agreement, commitment, or project. ""Back down"" means to admit defeat in an argument. Here, the context is about withdrawing from a project.","""बैक आउट"" का अर्थ है किसी समझौते, प्रतिबद्धता या परियोजना से पीछे हटना। ""पीछे हटना"" का अर्थ है किसी तर्क में हार स्वीकार करना। यहां संदर्भ एक प्रोजेक्ट से हटने का है."
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Scarcely had he reached the station than the train started.","वह स्टेशन पर पहुंचा ही था कि ट्रेन चल पड़ी।","then","","when","","before","","No improvement","","B","According to the rule of correlative conjunctions, ""Scarcely"" and ""Hardly"" are followed by ""when"" or ""before,"" not ""than."" ""Than"" is used with ""No sooner.""","सहसंबंधी संयोजनों के नियम के अनुसार, ""दुर्लभ"" और ""मुश्किल से"" के बाद ""कब"" या ""पहले"" आता है, ""से"" नहीं। ""थान"" का प्रयोग ""नो सूनरी"" के साथ किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","She is looking forward to meet her childhood friend after a decade.","वह एक दशक बाद अपने बचपन के दोस्त से मिलने का इंतजार कर रही है।","to meeting","","for meeting","","to be meeting","","No improvement","","A","The phrase ""look forward to"" is always followed by a gerund (Verb + ing), not by an infinitive (to + Verb).","वाक्यांश ""आगे देखो"" के बाद हमेशा गेरुंड (क्रिया + आईएनजी) आता है, न कि इनफिनिटिव (टू + क्रिया) के साथ।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","If I was a king, I would help the poor and needy of my kingdom.","यदि मैं राजा होता तो अपने राज्य के गरीबों और जरूरतमंदों की मदद करता।","am","","had been","","were","","No improvement","","C","This is a hypothetical conditional sentence. In such imaginary situations, ""were"" is used for all subjects, whether singular or plural.","यह एक काल्पनिक सशर्त वाक्य है. ऐसी काल्पनिक स्थितियों में, ""थे"" का प्रयोग सभी विषयों के लिए किया जाता है, चाहे एकवचन हो या बहुवचन।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","The teacher as well as her students are present in the seminar.","सेमिनार में शिक्षिका के साथ-साथ उनके छात्र भी मौजूद हैं.","is","","have been","","were","","No improvement","","A","When subjects are connected by ""as well as,"" ""along with,"" or ""together with,"" the verb agrees with the first subject. Since ""The teacher"" is singular, the correct verb is ""is.""","जब विषय ""साथ ही,"" ""साथ में,"" या ""एक साथ"" से जुड़े होते हैं तो क्रिया पहले विषय से सहमत होती है। चूँकि ""शिक्षक"" एकवचन है, इसलिए सही क्रिया ""है"" है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","He is senior than me in the digital marketing department.","वह डिजिटल मार्केटिंग विभाग में मुझसे वरिष्ठ हैं।","to","","over","","from","","No improvement","","A","Latin adjectives such as senior, junior, superior, inferior, and prior take the preposition ""to"" instead of ""than.""","वरिष्ठ, कनिष्ठ, श्रेष्ठ, निम्न और पूर्व जैसे लैटिन विशेषण ""से"" के बजाय ""से"" पूर्वसर्ग लेते हैं।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I have been living in this chaotic city since five years.","मैं पांच साल से इस अव्यवस्थित शहर में रह रहा हूं.","from","","for","","before","","No improvement","","B","""For"" is used to indicate a period or duration of time, whereas ""since"" is used to indicate a specific point in time.","""के लिए"" का उपयोग किसी अवधि या समय की अवधि को इंगित करने के लिए किया जाता है, जबकि ""चूंकि"" का उपयोग समय में एक विशिष्ट बिंदु को इंगित करने के लिए किया जाता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","No sooner did the bell ring when the children ran out of their classrooms.","जैसे ही घंटी बजी, बच्चे अपनी कक्षाओं से बाहर भागे।","than","","then","","before","","No improvement","","A","The correlative conjunction ""No sooner"" is always followed by ""than.""","सहसंबद्ध संयोजन ""अभी नहीं"" के बाद हमेशा ""से"" आता है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","Unless you do not work hard, you cannot clear the Tier-2 exam.","जब तक आप कड़ी मेहनत नहीं करेंगे तब तक आप टियर-2 परीक्षा पास नहीं कर सकते।","work hard","","will not work hard","","had worked hard","","No improvement","","A","""Unless"" already carries a negative meaning equivalent to ""if not."" Therefore, using another negative word such as ""not"" is incorrect.","""जब तक"" पहले से ही ""यदि नहीं"" के बराबर नकारात्मक अर्थ रखता है। इसलिए, ""नहीं"" जैसे किसी अन्य नकारात्मक शब्द का उपयोग करना गलत है।"
"SSC CGL Tier 1","English Comprehension","Sentence improvement","Sentence improvement","Sentence Improvement","Medium","MCQ","2","0.5","I am tired with walking such a long distance in the sun.","इतनी दूर धूप में चलने से मैं थक गया हूँ।","of","","by","","from","","No improvement","","A","The fixed expression is ""tired of,"" which means exhausted or fed up because of an activity or situation.","निश्चित अभिव्यक्ति ""थका हुआ"" है, जिसका अर्थ है किसी गतिविधि या स्थिति के कारण थका हुआ या तंग आ जाना।"
